Constituency,MP,Winning party,Electorate,Valid votes,Majority,Majority (%),Con,Lab,LD
Worcester,Robin Walker,Con,73485,50898,6758,13%,25856,19098,3666
Copeland,Trudy Harrison,Con,61693,42523,5842,14%,22856,17014,1888
Pendle,Andrew Stephenson,Con,65292,44460,6186,14%,24076,17890,1548
Northampton North,Michael Ellis,Con,58768,39539,5507,14%,21031,15524,2031
Morecambe and Lunesdale,David Morris,Con,67397,45310,6354,14%,23925,17571,2328
East Worthing and Shoreham,Tim Loughton,Con,75194,53128,7474,14%,27107,19633,4127
Penistone and Stocksbridge,Miriam Cates,Con,70925,49520,7210,15%,23688,16478,5054
South West Surrey,Jeremy Hunt,Con,79096,60340,8817,15%,32191,4775,23374
Uxbridge and South Ruislip,Boris Johnson,Con,70365,48187,7210,15%,25351,18141,3026
Stoke-On-Trent North,Jonathan Gullis,Con,68298,40134,6286,16%,20974,14688,1268
Crewe and Nantwich,Kieran Mullan,Con,80321,54032,8508,16%,28704,20196,2618
Wells,James Heappey,Con,81898,61628,9991,16%,33336,4304,23345
Harrow East,Bob Blackman,Con,72106,49491,8170,17%,26935,18765,3791
Sutton and Cheam,Paul Scully,Con,71779,50487,8351,17%,25235,7200,16884
Newcastle-Under-Lyme,Aaron Bell,Con,68211,44739,7446,17%,23485,16039,2361
Crawley,Henry Smith,Con,74207,49899,8360,17%,27040,18680,2728
Clwyd West,David Jones,Con,57714,40203,6747,17%,20403,13656,2237
Corby,Tom Pursglove,Con,86153,60475,10268,17%,33410,23142,3923
Harrogate and Knaresborough,Andrew Jones,Con,77941,56937,9675,17%,29962,5480,20287
Scunthorpe,Holly Mumby-Croft,Con,61955,37750,6451,17%,20306,13855,875
Brecon and Radnorshire,Fay Jones,Con,55490,41319,7131,17%,21958,3944,14827
Camborne and Redruth,George Eustice,Con,70250,50367,8700,17%,26764,18064,3504
Colchester,Will Quince,Con,82625,53373,9423,18%,26917,17494,7432
Bishop Auckland,Dehenna Davison,Con,68170,44805,7962,18%,24067,16105,2133
South East Cambridgeshire,Lucy Frazer,Con,86769,64385,11490,18%,32187,10492,20697
Bournemouth East,Tobias Ellwood,Con,74125,49274,8806,18%,24926,16120,5418
Stevenage,Stephen McPartland,Con,71562,47683,8562,18%,25328,16766,4132
Bolton West,Chris Green,Con,73191,49298,8855,18%,27255,18400,2704
York Outer,Julian Sturdy,Con,74673,55347,9985,18%,27324,17339,9992
Woking,Jonathan Lord,Con,75424,53937,9767,18%,26396,8827,16629
Taunton Deane,Rebecca Pow,Con,88676,63733,11700,18%,34164,4715,22464
Carmarthen West and South Pembrokeshire,Simon Hart,Con,59158,42114,7745,18%,22183,14438,1860
Wantage,David Johnston,Con,90867,67173,12653,19%,34085,10181,21432
Shrewsbury and Atcham,Daniel Kawczynski,Con,82238,59065,11217,19%,31021,19804,5906
Gloucester,Richard Graham,Con,81319,53764,10277,19%,29159,18882,4338
Carlisle,John Stevenson,Con,65105,42873,8319,19%,23659,15340,2829
Rossendale and Darwen,Jake Berry,Con,72770,48822,9522,20%,27570,18048,2011
Chippenham,Michelle Donelan,Con,77221,57099,11288,20%,30994,6399,19706
Monmouth,David T. C. Davies,Con,67098,50217,9982,20%,26160,16178,4909
Macclesfield,David Rutley,Con,76216,53867,10711,20%,28292,17581,5684
Scarborough and Whitby,Robert Goodwill,Con,74404,49724,10270,21%,27593,17323,3038
Croydon South,Chris Philp,Con,83982,59358,12339,21%,30985,18646,7503
South Ribble,Katherine Fletcher,Con,75351,53784,11199,21%,30028,18829,3720
Welwyn Hatfield,Grant Shapps,Con,74892,52053,10955,21%,27394,16439,6602
Mole Valley,Paul Beresford,Con,74665,57110,12041,21%,31656,2965,19615
Romsey and Southampton North,Caroline Nokes,Con,68228,51390,10872,21%,27862,5898,16990
Morley and Outwood,Andrea Jenkyns,Con,78803,51930,11267,22%,29424,18157,2285
Erewash,Maggie Throup,Con,72523,48814,10606,22%,27560,16954,2487
South Thanet,Craig Mackinlay,Con,73223,48257,10587,22%,27084,16497,2727
Bournemouth West,Conor Burns,Con,74205,45977,10150,22%,24550,14400,4931
Blackpool North and Cleveleys,Paul Maynard,Con,63692,38804,8596,22%,22364,13768,1494
Great Grimsby,Lia Nici,Con,61409,33087,7331,22%,18150,10819,1070
Kingswood,Chris Skidmore,Con,68972,49314,11220,23%,27712,16492,3421
Hexham,Guy Opperman,Con,61324,46150,10549,23%,25152,14603,4672
West Dorset,Chris Loder,Con,81897,60925,14106,23%,33589,5729,19483
South West Hertfordshire,Gagan Mohindra,Con,80499,61191,14408,24%,30327,7228,6251
Thornbury and Yate,Luke Hall,Con,69492,52243,12369,24%,30202,4208,17833
Bromley and Chislehurst,Robert Neill,Con,66697,45566,10891,24%,23958,13067,6621
Henley,John Howell,Con,76646,58759,14053,24%,32189,5698,18136
Chelsea and Fulham,Greg Hands,Con,67110,46821,11241,24%,23345,10872,12104
Thurrock,Jacqueline Doyle-Price,Con,79659,47467,11482,24%,27795,16313,1510
