Constituency	MP	Winning party	Electorate	Valid votes	Majority	Majority (%)	Con	Lab	LD
Ludlow	Philip Dunne	Con	69444	50225	23648	47.08412145	32185	7591	8537
Devizes	Danny Kruger	Con	73372	50954	23993	47.08756918	32150	7838	8157
Richmond (Yorks)	Rishi Sunak	Con	82569	57703	27210	47.15526056	36693	9483	6989
Tonbridge and Malling	Thomas Tugendhat	Con	79278	57003	26941	47.26242478	35784	8286	8843
Christchurch	Christopher Chope	Con	71520	51951	24617	47.3850359	33894	6568	9277
Havant	Alan Mak	Con	72103	45959	21792	47.41617529	30051	8259	5708
Sittingbourne and Sheppey	Gordon Henderson	Con	83917	51394	24479	47.63007355	34742	10263	3213
Gosport	Caroline Dinenage	Con	73541	48453	23278	48.04243287	32226	8948	5473
New Forest West	Desmond Swayne	Con	70869	50306	24403	48.50912416	32113	6595	7710
North Herefordshire	Bill Wiggin	Con	70252	51033	24856	48.70573942	32158	6804	7302
Witham	Priti Patel	Con	70402	49344	24082	48.80431258	32876	8794	4584
Braintree	James Cleverly	Con	75208	50499	24673	48.85839324	34112	9439	4779
Sleaford and North Hykeham	Caroline Johnson	Con	94761	66554	32565	48.93019202	44683	12118	5355
New Forest East	Julian Lewis	Con	73549	50786	25251	49.72039538	32769	7518	7390
Mid Worcestershire	Nigel Huddleston	Con	78220	56123	28018	49.92249167	37426	9408	6474
Aldridge-Brownhills	Wendy Morton	Con	60138	39342	19836	50.41939912	27850	8014	2371
Brigg and Goole	Andrew Percy	Con	65939	43402	21941	50.55296991	30941	9000	2180
South West Norfolk	Elizabeth Truss	Con	78455	51466	26195	50.89768002	35507	9312	4166
Brentwood and Ongar	Alex Burghart	Con	75255	52949	29065	54.89244367	36308	7243	7187
Louth and Horncastle	Victoria Atkins	Con	79634	52332	28868	55.16318887	38021	9153	4114
Rayleigh and Wickford	Mark Francois	Con	78930	54901	31000	56.46527386	39864	8864	4171
South Staffordshire	Gavin Williamson	Con	73668	50005	28250	56.49435056	36520	8270	3280
North East Cambridgeshire	Stephen Barclay	Con	83699	52964	29993	56.62903104	38423	8430	4298
Clacton	Giles Watling	Con	70930	43506	24702	56.7783754	31438	6736	2541
Maldon	John Whittingdale	Con	72438	50408	30041	59.5956991	36304	6263	5990
Castle Point	Rebecca Harris	Con	69608	44277	26634	60.15312691	33971	7337	2969
Boston and Skegness	Matt Warman	Con	69381	41696	25621	61.44714121	31963	6342	1963
South Holland and The Deepings	John Hayes	Con	75975	49179	30838	62.70562639	37338	6500	3225
